slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
ethereum,ETH,Ethereum,03/31/2021,2,1417.15114276,1947.83775303,1416.41618462,1918.36206064,730832219124.48,221151811159.17,0.9445342565259621,531.42156841
ethereum,ETH,Ethereum,02/28/2021,2,1314.85528255,2036.28649332,1274.35775467,1416.0489059,1007718046120.15,162650415374.44,0.18596378380614825,761.92873865
ethereum,ETH,Ethereum,01/31/2021,2,737.70837778,1467.78494205,718.10951748,1314.9862286,2224801390350.97,150543956657.31,0.7961801755237708,749.6754245699999
ethereum,ETH,Ethereum,12/31/2020,2,615.07032475,754.30323417,532.99842827,737.80339769,470673397124.97,84156810764.81,0.9254429364382819,221.30480590000002
ethereum,ETH,Ethereum,11/30/2020,2,386.5903379,621.17342049,371.31273818,614.84252202,507753255879.57,69873714778.48,0.9746622861529479,249.86068231000002
ethereum,ETH,Ethereum,10/31/2020,2,360.30915387,420.14165637,334.54556532,386.59033529,416749195872.54,43776829150.38,0.6080274149388272,85.59609105000004
ethereum,ETH,Ethereum,09/30/2020,2,402.09906231,485.0971835,318.54509133,359.93787376,640898985263.06,40606130497.97,0.24852754408963124,166.55209217000004
ethereum,ETH,Ethereum,08/31/2020,2,378.91148021,440.85968012,3.29814466,402.64420779,282173425938.07,45260169371.57,0.9126626331772403,437.56153546
ethereum,ETH,Ethereum,07/31/2020,2,226.134585409,348.611372268,224.544490381,345.554649307,12030600491.53,38699278448.66,0.9753622972181721,124.06688188700002
ethereum,ETH,Ethereum,06/30/2020,2,230.860252561,252.222002825,219.472677862,226.314997358,6094093001.39,25249913730.18,0.20893009256619496,32.74932496299999
ethereum,ETH,Ethereum,05/31/2020,2,207.901731105,244.045261307,180.718334193,230.975700856,12234904813.34,25675542328.54,0.7936176434477483,63.326927114
ethereum,ETH,Ethereum,04/30/2020,2,133.612324512,227.529689912,129.730944345,207.602055895,28089191904.0,22989647064.8,0.7962383474198248,97.798745567
ethereum,ETH,Ethereum,03/31/2020,2,219.752677765,249.978491516,95.1843005183,133.593565057,11065246316.98,14739376437.83,0.24813117527950843,154.79419099769999
ethereum,ETH,Ethereum,02/29/2020,2,180.113770906,287.123696828,179.745185298,219.84851255,18181296376.35,24162913195.45,0.373476281991446,107.37851153
solana,SOL,Solana,12/31/2023,5,59.2381770658,125.1938965069,58.7782104274,101.5058185509,96652075131.77,43576016359.84,0.6433360949152099,66.4156860795
solana,SOL,Solana,11/30/2023,5,38.5130579855,67.9921534619,37.9610526419,59.2416237142,65686484155.26,25115707773.59,0.708617749307666,30.031100820000006
solana,SOL,Solana,10/31/2023,5,21.3920592299,38.5464329229,21.068971191,38.5195167149,20346249920.65,16150980273.4,0.9984599475362675,17.477461731900004
solana,SOL,Solana,09/30/2023,5,19.7347562041,21.7299710288,17.4614768308,21.3951466979,7329155893.75,8835648588.77,0.921559145832532,4.268494198000003
solana,SOL,Solana,08/31/2023,5,23.7248923303,25.2411207709,19.5497615381,19.7350923,10668041414.09,8057061417.56,0.032563532597260324,5.6913592328
solana,SOL,Solana,07/31/2023,5,18.8960637371,30.0576947696,17.9457975922,23.7209566191,19472024682.82,9595184949.46,0.4768170454481784,12.1118971774
solana,SOL,Solana,06/30/2023,5,20.8248918735,22.2845908675,13.3794485702,18.8973212021,11396306576.45,7560904894.88,0.6196276766484679,8.905142297300001
solana,SOL,Solana,05/31/2023,5,22.8285051109,23.2223005751,18.8922644651,20.8245025704,9078738923.2,8258826163.36,0.4462406446998431,4.330036110000002
solana,SOL,Solana,04/30/2023,5,21.1713534169,25.9383351048,19.947696373,22.8320135036,15602579937.73,8978360112.34,0.4814707178533785,5.990638731800001
solana,SOL,Solana,03/31/2023,5,21.9121373786,23.8311927176,16.117345738,21.1704964622,17774918269.39,8163409987.23,0.6550753129487187,7.7138469795999995
solana,SOL,Solana,02/28/2023,5,23.9485152304,26.9255807905,19.843343608,21.9163865898,18758524520.3,8293114612.68,0.29271018865654846,7.082237182499998
solana,SOL,Solana,01/31/2023,5,9.9610363185,26.6528047657,9.7210114676,23.9525467954,32189311425.77,8902683090.07,0.8405214425454266,16.9317932981
solana,SOL,Solana,12/31/2022,5,14.1334515858,14.8876670397,8.1412683001,9.9610387455,8551585888.72,3658820467.9,0.26973953299236736,6.7463987396
