timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-01-01T00:00:00.000Z";"2022-01-31T23:59:59.999Z";"2022-01-04T15:05:00.000Z";"2022-01-24T14:13:00.000Z";"2781";3683.0471559386;3876.7850857924;2172.3011525157;2688.2789217993;491108556501.46;320959888865.31;"2022-01-31T23:59:59.999Z"
"2021-12-01T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-01T07:47:08.000Z";"2021-12-04T05:28:02.000Z";"2781";4623.6794442015;4780.7324839017;3525.4940537032;3682.6329054434;621042023888.91;438128003490.89;"2021-12-31T23:59:59.999Z"
"2021-11-01T00:00:00.000Z";"2021-11-30T23:59:59.999Z";"2021-11-16T07:26:06.000Z";"2021-11-26T12:14:02.000Z";"2781";4288.2174696576;4891.7046975514;3933.5064907621;4631.4787953361;573546775950.74;549085770690.68;"2021-11-30T23:59:59.999Z"
"2021-10-01T00:00:00.000Z";"2021-10-31T23:59:59.999Z";"2021-10-29T16:07:02.000Z";"2021-10-01T03:49:02.000Z";"2781";3001.1293058231;4455.7353969388;2978.6544151669;4288.0744524723;574798465421.65;506663636947.23;"2021-10-31T23:59:59.999Z"
"2021-09-01T00:00:00.000Z";"2021-09-30T23:59:59.999Z";"2021-09-03T14:35:03.000Z";"2021-09-21T21:20:08.000Z";"2781";3430.76234307;4022.46935966;2676.407414784;3001.6790517388;653984909752.41;353421264860.04;"2021-09-30T23:59:59.999Z"
"2021-08-01T00:00:00.000Z";"2021-08-31T23:59:59.999Z";"2021-08-31T14:03:46.000Z";"2021-08-03T07:03:07.000Z";"2781";2530.46279155;3466.9922831;2449.35353558;3433.73278118;750207704161.75;402902770209.73;"2021-08-31T23:59:59.999Z"
"2021-07-01T00:00:00.000Z";"2021-07-31T23:59:59.999Z";"2021-07-31T23:36:10.000Z";"2021-07-20T03:23:05.000Z";"2781";2274.39751758;2551.16108426;1722.05078095;2536.21003475;629953496176.39;296532997873.12;"2021-07-31T23:59:59.999Z"
"2021-06-01T00:00:00.000Z";"2021-06-30T23:59:59.999Z";"2021-06-03T10:13:03.000Z";"2021-06-22T13:56:03.000Z";"2781";2707.56059635;2891.254971;1707.60059497;2274.54771264;813523116982.16;265001225920.83;"2021-06-30T23:59:59.999Z"
"2021-05-01T00:00:00.000Z";"2021-05-31T23:59:59.999Z";"2021-05-12T14:28:03.000Z";"2021-05-23T16:43:03.000Z";"2781";2772.83830288;4362.3505418;1737.46874792;2714.94534372;1510329786012.79;315217277482.81;"2021-05-31T23:59:59.999Z"
"2021-04-01T00:00:00.000Z";"2021-04-30T23:59:59.999Z";"2021-04-29T12:52:03.000Z";"2021-04-01T18:22:03.000Z";"2781";1919.15728391;2797.97238495;1912.17840836;2773.20713193;995334204883.77;320822874720.79;"2021-04-30T23:59:59.999Z"
"2021-03-01T00:00:00.000Z";"2021-03-31T23:59:59.999Z";"2021-03-31T21:35:04.000Z";"2021-03-01T00:08:24.000Z";"2781";1417.15114276;1947.83775303;1416.41618462;1918.36206064;730832219124.48;221151811159.17;"2021-03-31T23:59:59.999Z"
"2021-02-01T00:00:00.000Z";"2021-02-28T23:59:59.999Z";"2021-02-20T13:29:24.000Z";"2021-02-01T00:30:18.000Z";"2781";1314.85528255;2036.28649332;1274.35775467;1416.0489059;1007718046120.15;162650415374.44;"2021-02-28T23:59:59.999Z"
