Date,Open,High,Low,Close,Volume
04-12-2015,0.812081993,0.859574974,0.802372992,0.840040982,241278
05-12-2015,0.841194987,0.872820973,0.824443996,0.862438023,232743
06-12-2015,0.866416991,0.882435978,0.833114982,0.835500002,443608
07-12-2015,0.83632201,0.850790978,0.787649989,0.811263979,520409
08-12-2015,0.806024015,0.823644996,0.78232801,0.822117984,445903
09-12-2015,0.82445401,0.82445401,0.770488024,0.792167008,624221
10-12-2015,0.795589984,0.861590028,0.78729099,0.840395987,369589
11-12-2015,0.839995027,0.929762006,0.819788992,0.929762006,801072
12-12-2015,0.931195974,1.045369983,0.928546011,0.976972997,1376280
13-12-2015,0.971538007,0.989394009,0.937438011,0.952884018,273614
14-12-2015,0.956619978,1.013100028,0.950178027,0.993022025,563436
15-12-2015,0.990589023,1.028839946,0.982240021,1.014150024,578618
16-12-2015,1.01710999,1.018030047,0.974927008,0.991182029,320767
17-12-2015,0.993043006,0.997610986,0.911807001,0.940701008,640765
18-12-2015,0.938327014,0.939493001,0.908080995,0.920126975,300787
19-12-2015,0.921523988,0.925873995,0.888916016,0.908071995,343535
20-12-2015,0.90824002,0.943184972,0.899441004,0.903885007,472164
21-12-2015,0.906064987,0.917389989,0.891182005,0.900771022,549113
22-12-2015,0.89497298,0.909525991,0.862058997,0.864202023,454249
23-12-2015,0.861782014,0.882939994,0.856064975,0.85807699,334993
24-12-2015,0.859432995,0.882817984,0.847599983,0.863261998,354646
25-12-2015,0.861993015,0.882556021,0.861993015,0.870362997,187114
26-12-2015,0.870765984,0.89745301,0.838313997,0.854602993,425282
27-12-2015,0.853165984,0.861537993,0.841150999,0.856365025,164565
28-12-2015,0.856356025,0.872394025,0.832931995,0.845004976,235134
29-12-2015,0.843834996,0.873054028,0.833231986,0.873054028,215742
30-12-2015,0.874257982,0.941098988,0.866647005,0.911957979,604078
31-12-2015,0.912097991,0.975413978,0.910277009,0.933542013,663994
01-01-2016,0.9337,0.9548,0.9314,0.948,206062
02-01-2016,0.947400987,0.969636977,0.936559975,0.937124014,255504
03-01-2016,0.938430011,0.991361976,0.934312999,0.971904993,407632
04-01-2016,0.972045004,0.976437986,0.929835022,0.954479992,346245
05-01-2016,0.953146994,0.970597029,0.946542978,0.950176001,219833
06-01-2016,0.950028002,0.960659027,0.935707986,0.950860024,308791
07-01-2016,0.95580101,0.974623025,0.935829997,0.942004979,647462
08-01-2016,0.942752004,0.991824985,0.939715028,0.986788988,545600
09-01-2016,0.985500991,0.992344976,0.97359997,0.986832976,226281
10-01-2016,0.98555702,1.001029968,0.975099027,0.999230981,390888
11-01-2016,0.99921602,1.069910049,0.99921602,1.06159997,1011920
12-01-2016,1.066100001,1.28283,1.050089955,1.141000032,2898760
13-01-2016,1.135470033,1.152179956,1.077029944,1.125200033,1005910
14-01-2016,1.122099996,1.189589977,1.103189945,1.189589977,751961
15-01-2016,1.184440017,1.319380045,1.142930031,1.208009958,3910550
16-01-2016,1.220460057,1.308159947,1.168009996,1.220289946,2462630
17-01-2016,1.221469998,1.328830004,1.20776999,1.327469945,1171150
18-01-2016,1.332309961,1.542899966,1.322219968,1.426339984,4278930
19-01-2016,1.422610045,1.46468997,1.305009961,1.371389985,2446740
20-01-2016,1.363180041,1.619240046,1.353710055,1.531820059,2933220
21-01-2016,1.532699943,1.585489988,1.486690044,1.553570032,1614960
22-01-2016,1.547029972,1.581459999,1.465880036,1.501270056,1567240
23-01-2016,1.504119992,2.030119896,1.49605,1.972669959,7370980
24-01-2016,1.900539994,2.298419952,1.900539994,2.141200066,9669770
25-01-2016,2.14763999,2.662580013,2.056139946,2.499269962,10739300
26-01-2016,2.532740116,2.836990118,1.99477005,2.276370049,13939200
27-01-2016,2.2474401,2.594939947,2.188649893,2.388550043,6961080
28-01-2016,2.406450033,2.684669972,2.342030048,2.526489973,4903850
29-01-2016,2.542979956,2.606770039,2.303900003,2.49496007,6662340
30-01-2016,2.507719994,2.611809969,2.398920059,2.445060015,3725080
31-01-2016,2.443150044,2.530970097,2.186350107,2.306040049,5847500
01-02-2016,2.319689989,2.319689989,2.116309881,2.211689949,3994100
02-02-2016,2.215189934,2.448980093,2.157200098,2.439640045,3451270
03-02-2016,2.431930065,2.540169954,2.341619968,2.5286901,3987750
04-02-2016,2.529030085,2.629539967,2.436460018,2.578039885,3552320
05-02-2016,2.570349932,2.606179953,2.470920086,2.538990021,2636700
06-02-2016,2.533819914,2.561150074,2.472009897,2.534460068,1921240
07-02-2016,2.536410093,3.058190107,2.536380053,2.964339972,7007060
08-02-2016,2.97300005,3.274280071,2.875370026,3.17979002,9725690
09-02-2016,3.174989939,4.044640064,3.168750048,4.044640064,17954000
10-02-2016,4.000549793,4.861440182,3.78309989,4.436260223,28640400
11-02-2016,4.496819973,6.292230129,4.338300228,6.013100147,26408200
12-02-2016,5.946149826,6.582749844,5.070759773,5.546979904,23360800
13-02-2016,5.685050011,5.719540119,4.190000057,5.385320187,24218800
14-02-2016,5.404329777,5.465060234,4.445710182,5.239729881,11226500
15-02-2016,5.330530167,5.88699007,5.018559933,5.288350105,13934200
16-02-2016,5.328320026,5.474860191,4.033840179,4.315289974,15889100
17-02-2016,4.289169788,4.767069817,3.497370005,3.757240057,15451000
18-02-2016,3.774699926,4.770569801,3.420880079,4.399129868,17054000
19-02-2016,4.384789944,4.793220043,4.274690151,4.737889767,7666320
20-02-2016,4.682199955,4.754059792,4.12706995,4.341330051,8631090
21-02-2016,4.360549927,4.711510181,4.227610111,4.653619766,6413550
22-02-2016,4.664949894,5.645709992,4.635250092,5.616499901,15056200
23-02-2016,5.684929848,5.947639942,5.387819767,5.586209774,13380600
24-02-2016,5.60405016,6.236470223,5.509250164,6.236470223,11426500
25-02-2016,6.186709881,6.647409916,5.551239967,6.104800224,21471800
26-02-2016,6.037829876,6.268750191,5.739049912,5.92166996,9526860
27-02-2016,5.963079929,6.526919842,5.920519829,6.425859928,8903210
28-02-2016,6.405509949,6.619339943,6.238369942,6.468349934,9851660
29-02-2016,6.455649853,6.614510059,6.054289818,6.33698988,7648020
01-03-2016,6.319310188,7.908639908,6.308849812,7.653689861,23098100
02-03-2016,7.633029938,8.75345993,7.371300221,8.465390205,29130200
03-03-2016,8.442290306,10.09739971,8.332030296,9.294150353,40314900
04-03-2016,9.240559578,10.40600014,8.479419708,10.40600014,35520100
05-03-2016,10.37030029,12.27400017,9.972900391,11.00370026,56439600
06-03-2016,11.20400047,11.83600044,9.993610382,11.38290024,39112000
07-03-2016,11.42879963,11.65190029,9.309490204,9.552630425,34085100
08-03-2016,9.582139969,10.16639996,8.815770149,9.84720993,25524300
09-03-2016,9.792420387,12.0546999,9.67098999,11.89799976,27540500
10-03-2016,11.88150024,12.23929977,10.99110031,11.30500031,26851500
11-03-2016,11.22159958,11.59990025,10.39369965,11.08279991,21002700
12-03-2016,11.13070011,13.5333004,11.08769989,13.5333004,48957300
13-03-2016,13.51019955,15.25710011,13.4673996,14.47500038,43915100
14-03-2016,14.51220036,15.01299953,11.58209991,12.45259953,58385100
15-03-2016,13.0017004,13.19779968,12.04679966,13.01000023,28404500
16-03-2016,13.02159977,13.73069954,12.49540043,12.52089977,24335500
17-03-2016,12.55869961,12.64350033,10.44260025,11.08150005,41650600
18-03-2016,11.10910034,11.17879963,8.52451992,10.99810028,53956800
19-03-2016,11.20370007,11.20370007,9.776630402,10.53069973,26735700
20-03-2016,10.5163002,10.90380001,9.570400238,10.31980038,17651100
21-03-2016,10.30370045,12.01490021,10.16160011,11.86410046,28572600
22-03-2016,11.87919998,12.02519989,11.17700005,11.2748003,19730300
23-03-2016,11.32789993,12.43260002,11.23709965,12.41670036,19353200
24-03-2016,12.44219971,12.50160027,10.80350018,11.23499966,26081800
25-03-2016,11.26029968,11.37290001,10.52719975,10.7432003,13782000
26-03-2016,10.76790047,11.18080044,10.58920002,10.97399998,9425480
27-03-2016,10.9861002,11.05420017,10.11209965,10.41919994,16744800
28-03-2016,10.4314003,11.86130047,10.40750027,11.66559982,23188300
29-03-2016,11.75269985,11.91359997,11.34980011,11.65639973,17684200
30-03-2016,11.60529995,12.17850018,11.46920013,11.95289993,19351200
31-03-2016,11.9197998,12.01189995,11.31569958,11.4034996,14966700
01-04-2016,11.40060043,11.85039997,11.40060043,11.66359997,11373100
02-04-2016,11.63059998,11.68879986,11.3987999,11.59889984,8682620
03-04-2016,11.62829971,11.70639992,11.50870037,11.61830044,5580550
04-04-2016,11.6157999,11.6157999,11.0163002,11.1573,9599070
05-04-2016,11.21249962,11.21249962,10.13469982,10.43809986,20557300
06-04-2016,10.44979954,10.97000027,10.27729988,10.68540001,16997100
07-04-2016,10.69519997,10.80970001,9.953630447,10.06970024,13464500
08-04-2016,10.07740021,10.38749981,9.655579567,9.719590187,14660600
09-04-2016,9.69423008,10.08889961,9.06814003,9.150620461,16194800
10-04-2016,9.149849892,9.224720001,7.455639839,8.936340332,42613400
11-04-2016,8.942779541,8.946640015,8.00317955,8.643790245,15138100
12-04-2016,8.6394701,8.6394701,7.154160023,7.442309856,23190100
13-04-2016,7.441359997,8.719770432,7.069220066,8.044420242,31403300
14-04-2016,8.075169563,8.757040024,8.021519661,8.38724041,13590700
15-04-2016,8.386059761,8.616200447,8.097330093,8.242779732,12179000
16-04-2016,8.235879898,8.649760246,8.114439964,8.609499931,9888460
17-04-2016,8.623189926,9.701999664,8.560779572,9.309100151,24619600
18-04-2016,9.332730293,9.506660461,8.496870041,9.036000252,21084100
19-04-2016,9.075329781,9.306240082,8.595459938,8.71487999,12899100
20-04-2016,8.68819046,8.825389862,8.313759804,8.465789795,15634700
21-04-2016,8.45345974,8.721830368,7.962220192,8.102169991,13355400
22-04-2016,8.149920464,8.272319794,7.668479919,7.821259975,13309300
23-04-2016,7.791830063,8.552929878,7.73774004,8.294790268,14565200
24-04-2016,8.293430328,8.473970413,7.95980978,8.001350403,10786400
25-04-2016,8.007769585,8.094599724,7.2365098,7.554339886,18239900
26-04-2016,7.526549816,7.551819801,7.058979988,7.39703989,17667300
27-04-2016,7.388390064,7.967740059,7.319690228,7.759970188,19254500
28-04-2016,7.740690231,7.913070202,7.166399956,7.172530174,11576000
29-04-2016,7.20702982,7.730959892,7.171889782,7.457290173,8762080
30-04-2016,7.453909874,9.366499901,7.453909874,8.813980103,36573300
01-05-2016,8.775079727,9.011779785,8.432359695,8.846500397,16713800
02-05-2016,8.894240379,10.32149982,8.850720406,10.16320038,41019200
03-05-2016,10.1651001,10.1651001,9.279800415,9.31126976,21463900
04-05-2016,9.382869721,10.03409958,9.267519951,9.413769722,17622400
05-05-2016,9.396730423,10.04599953,9.29211998,9.826100349,18296200
06-05-2016,9.809610367,9.952190399,9.037010193,9.346639633,21510600
07-05-2016,9.315649986,9.475790024,9.212100029,9.370510101,10806500
08-05-2016,9.372900009,9.597499847,8.926859856,9.482930183,15031000
09-05-2016,9.494039536,9.641160011,9.203700066,9.297730446,13085300
10-05-2016,9.282649994,9.479020119,9.261360169,9.361519814,9321790
11-05-2016,9.431429863,10.01189995,9.389260292,9.996279717,15267500
12-05-2016,9.995109558,10.50629997,9.856410027,10.05780029,24137700
13-05-2016,10.06229973,11.05280018,10.01840019,10.50660038,31276900
14-05-2016,10.50510025,10.61499977,9.807920456,10.23970032,18808000
15-05-2016,10.23859978,10.44449997,9.926420212,9.962349892,9218400
16-05-2016,9.968700409,11.44029999,9.968700409,11.17129993,29079900
17-05-2016,11.19320011,12.48700047,11.15260029,12.19880009,37198700
18-05-2016,12.17930031,14.25899982,12.17930031,13.55860043,65389900
19-05-2016,13.54279995,14.87279987,13.33759975,14.76970005,53757500
20-05-2016,14.85319996,15.04819965,13.3842001,13.63560009,50544100
21-05-2016,13.68970013,14.05119991,13.11900043,14.01500034,24648400
22-05-2016,14.04049969,14.34640026,13.76580048,14.28610039,17938900
23-05-2016,14.27980042,14.49240017,13.19219971,13.46150017,23842800
24-05-2016,13.30539989,13.77429962,12.01410007,12.7322998,41560600
25-05-2016,12.79319954,12.89840031,11.76659966,12.52600002,27444700
26-05-2016,12.51609993,12.98659992,12.05920029,12.43039989,20764000
27-05-2016,12.38939953,12.38939953,10.50269985,11.29580021,57496400
28-05-2016,11.33320045,12.36330032,10.37339973,11.89290047,47274800
29-05-2016,12.11219978,12.69079971,11.77680016,12.35039997,28598400
30-05-2016,12.32530022,12.88059998,12.26580048,12.72529984,14733800
31-05-2016,12.74349976,14.26729965,12.64220047,14.07730007,42433400
01-06-2016,14.10980034,14.31550026,13.43889999,14.00150013,22471300
02-06-2016,13.99170017,14.04839993,13.62919998,13.73799992,10477200
03-06-2016,13.74289989,13.87380028,13.25430012,13.84669971,22981500
04-06-2016,13.86429977,13.94540024,13.42179966,13.74040031,15792400
05-06-2016,13.76249981,14.07219982,13.56779957,13.97500038,11088400
06-06-2016,14.0007,14.05850029,13.73490047,13.93410015,8720400
07-06-2016,13.9453001,14.51200008,13.81459999,14.51200008,21421600
08-06-2016,14.50790024,14.77960014,14.27519989,14.41769981,16941800
09-06-2016,14.43060017,14.56719971,14.34020042,14.39859962,8256830
10-06-2016,14.37590027,14.43179989,13.82069969,13.90859985,11312900
